$, Homo	Nykytaiteen museo (1986)
$, Homo	Suuri illusioni (1985)
$, Steve	E.R. Sluts (2003) (V)
$hort, Too	American Pimp (1999)
$hort, Too	Beats, Rhymes & Life: The Travels of a Tribe Called Quest (2011)
$hort, Too	Gangsta Rap: The Glockumentary (2007)
$hort, Too	Get It Where You Fit in 1 (2003) (V)
$hort, Too	Ghetto Physics (2010)
$hort, Too	Ghostride the Whip (2008) (V)
$hort, Too	Hip Hop Uncensored Vol. 4: Miami Vice (2002) (V)
$hort, Too	Menace II Society (1993)
$hort, Too	Ozone West 3 (2009) (V)
$hort, Too	Pimpalation: Return of the Trill (2006)
$hort, Too	Planet Rock: The Story of Hip-Hop and the Crack Generation (2011) (TV)
$hort, Too	Porndogs: The Adventures of Sadie (2009)
$hort, Too	Rhyme & Reason (1997)
$hort, Too	Scarface: Greatest Hits on DVD (2003) (V)
$hort, Too	Stop Pepper Palmer (2014)
$hort, Too	Tight (2010) (V)
$hort, Too	Townbiz (2010)
$hort, Too	Uprising: Hip Hop and the LA Riots (2012)
$hort, Too	West Coast Theory (2009) (V)
$lim, Bee Moe	Fatherhood 101 (2013)
$lim, Bee Moe	For Thy Love 2 (2009)
$lim, Bee Moe	Night of the Jackals (2009) (V)
& Davi, Bruninho	Michel na Balada (2011) (V)
& Davi, Bruninho	Michel Tel?: Sunset (2013) (V)
& Fabiano, C?sar Menotti	Show da Virada (2011) (TV)
& Fabiano, C?sar Menotti	Teleton 2010 (2010) (TV)
& Vin?cius, Jo?o Bosco	Show da Virada (2011) (TV)
& Vin?cius, Jo?o Bosco	Teleton 2009 (2009) (TV)
& Vin?cius, Jo?o Bosco	Teleton 2012 (2012) (TV)
'Atu'ake, Taipaleti	When the Man Went South (2014)
'Avacado' Wolfe, David	The Gift (2010/I)
'babeepower' Viera, Michael	Mixing Nia (1998)
'babeepower' Viera, Michael	Rock Steady (2002)
'babeepower' Viera, Michael	W8 (Weight) (2012)
'Bear'Boyd, Steven	The Replacements (2000)
'Boogie' Brown, Steve	Bait Shop (2008) (V)
'Bootsy' Thomas, George	My Song for You (2010)
'Buguelo' Neto, Alderico	Babado Novo: Ver-te Mar (2007) (V)
'Buguelo' Neto, Alderico	Claudia Leitte: Ao Vivo em Copacabana (2008) (V)
'Buguelo' Neto, Alderico	Roupa Ac?stico 2 (2006) (V)
'Buguelo' Neto, Alderico	Uau! Babado Novo Ao Vivo em Salvador (2004) (V)
'Builder Bill' Ammons, Bill	Welcome to Slab City (2012)
'Cartucho' Pena, Ramon	Natas es Satan (1977)
'Casper' Brown, Jesse	All Out War (2013)
'Casper' Brown, Jesse	B-Girl (2009)
'Casper' Brown, Jesse	Battle of the Year (2013)
'Casper' Brown, Jesse	Breakin' Till Dawn (2011)
'Casper' Brown, Jesse	DJ Dizzy's Dance Hizzy (2005) (V)
'Casper' Brown, Jesse	Kickin It Old Skool (2007)
'Casper' Brown, Jesse	Lemonade Mouth (2011) (TV)
'Casper' Brown, Jesse	The Ho Down (2010)
'Casper' Brown, Jesse	The LXD: The Secrets of the Ra (2011)
'Chincheta', Eloy	?Ja me maaten...! (2000)
'Cuba', Luis	Ambos mundos (2007) (V)
'da Handyman' Kretschmann, Jerry	Welcome to Slab City (2012)
'Dead End' Kids, The	Angels with Dirty Faces (1938)
'Dead End' Kids, The	Crime School (1938)
'Dead End' Kids, The	Hell's Kitchen (1939)
'Dead End' Kids, The	They Made Me a Criminal (1939)
'Dibujo' Torres, Marcelino	Barrio Gangsters (2009)
'Draico' Johnson, Dondraico	The LXD: The Secrets of the Ra (2011)
'Edelserpentin' Bernstein, Musikverein	90 Jahre Burgenland (2011) (TV)
'El de Chipiona', Antonio	La guitarra muda (1953)
'El Franc?s', Jos?	Alma gitana (1996)
'El Franc?s', Jos?	De todo coraz?n (2000) (TV)
'El Franc?s', Jos?	Festival de Benidorm 2004 (2004) (TV)
'El Franc?s', Jos?	Gala de la hispanidad 2000 (2000) (TV)
'El Franc?s', Jos?	Gala de presentaci?n de la temporada 2000/2001 (2000) (TV)
'El Franc?s', Jos?	Gala de verano (2000) (TV)
'El Franc?s', Jos?	La chica del verano (2000) (TV)
'El Franc?s', Jos?	Miss Espa?a 2002 (2002) (TV)
'El Franc?s', Jos?	O que dis que din (2003)
'El Franc?s', Jos?	Premios Amigo 2000 (2000) (TV)
'El Franc?s', Jos?	Rosa y amigos (2002) (TV)
'El Franc?s', Jos?	Sevilla es feria (2000) (TV)
'El Franc?s', Jos?	Veo, veo internacional (2004) (TV)
'El Galgo PornoStar', Blanquito	Depravada (2006) (V)
'El Gato', F?lix	Especial humor: Vaya... y vuelta (1996) (TV)
'El Gato', F?lix	La noche de los inocentes (1997) (TV)
'El Gato', F?lix	Muchas gracias 1996 (1996) (TV)
'El Gato', F?lix	Pelotazo nacional (1993)
'El Guisa'	Los Tarantos (1963)
'El Jalisco', Marcial	Entre las patas de los caballos (2000)
'El Morito', Jos?	Torrente 2: Misi?n en Marbella (2001)
'El Ni?o de la Manola', Francisco	Los almendros - Plaza nueva - (2000)
'El Payaso', V?ctor	De la calle (2001)
'El Pesca?to', Antonio	Los almendros - Plaza nueva - (2000)
'El Plojo', Luis	De la calle (2001)
'el Portugues', Janny	La contrabandista (1982)
'El Rilete', Antonio	Los almendros - Plaza nueva - (2000)
'El Toro', Baltazar	Operaci?n narc?ticos (1991)
'El Viti'	Los Tarantos (1963)
'Finchie''Coveney, Finbar	The Brotherhood (2013)
'Flintstone', Tommy	Welcome to Slab City (2012)
'Formiga', Luis Roberto	OP Pro 88 - Barra, Rio (1988)
'Ghetto Bird' Bahena, Gilberto	Mahogany Sunrise (2013)
'Goochi'	Everybody's Business (1993)
'Hairy Cowboy', Fred	102 PS (2009)
'Illy' Liban, Ellias	Troop 491: Adventures of the Muddy Lions (2013)
'Insane Wayne' Smith, Wayne	Welcome to Slab City (2012)
'Ivanzinho' Oliveira, Iv?	Claudia Leitte: Ao Vivo em Copacabana (2008) (V)
'Jumbles' Cook, David	Heron's Story (2008)
'K', Murray the	Around the Beatles (1964) (TV)
'K', Murray the	Been Down So Long It Looks Like Up to Me (1971)
'K', Murray the	I Wanna Hold Your Hand (1978)
'K', Murray the	It's What's Happening, Baby! (1965) (TV)
'K', Murray the	Sweet Talkin' Guys (1991) (TV)
'K', Murray the	That's the Way of the World (1975)
'K', Murray the	The Beatles at Shea Stadium (1966) (TV)
'K', Murray the	The Beatles: The First U.S. Visit (1991) (V)
'K', Murray the	The Day the Music Died (1977)
'K', Murray the	What's Happening! The Beatles in the U.S.A. (1964) (TV)
'Kick Boxer', N?stor	Violencia urbana (1996)
'Kid Niagara' Kallet, Harry	Drug Demon Romance (2012)
'Koolout' Starks, Johnny	Don't Bite the Apple (2011)
'Koolout' Starks, Johnny	Nothing Like the Holidays (2008)
'Koolout' Starks, Johnny	Ransum Games (2014)
'Koolout' Starks, Johnny	Subtle Seduction (2008)
'Koolout' Starks, Johnny	The Godfather of Green Bay (2005)
'La Chispa', Tony	Caceria de judiciales (1997)
'La Chispa', Tony	El secuestro de un periodista (1992)
'La Chispa', Tony	Violencia en la sierra (1995)
'Latin' Clark, James	Manito: Brother's Sacrifice (2013)
'Lito' Tejada, Yradier	Rebecca's Window (2006)
'Little Kato', Chris	Jackass 3D (2010)
'Maka West', Jerry	Nom T?w (2009)
'Marombinha' Souza, Gleidson	Claudia Leitte: Ao Vivo em Copacabana (2008) (V)
'Monkey' Stevens, Neal	Grey Britain (2009)
'Monkey' Stevens, Neal	Half Hearted (2010)
'Monkey' Stevens, Neal	Sign Language (2010/II)
'Morita'	Los Tarantos (1963)
'Mr. Cool', Achyutan	A Journey from the N-Side: An Unscripted Profile of a Jazz/Poet (2010) (V)
'Muhammad Ali of R&B', Yavin	The Enemies You Keep (2012)
'Potbelly' Rodger, Jason	Gospel Truth (2011)
'Pucherete'	Los Tarantos (1963)
'Raff'	Reflections of Evil (2002)
'Rami' Wells, Hinton	JFH Brawl (2007) (V)
'Rami' Wells, Hinton	Justice-For-Hire (2005)
'Romero', Pollino	La estatua (1961)
's-Gravenzande, Ad	Going to the Dogs (1986) (TV)
'Sal' Silvino, Salas	Subprime Children (2012)
'Sledgehammer' Jones, Jerry	Welcome to Slab City (2012)
'Slick' Nesevitch, Chris	Step Fast (1994)
'Soul' Beard, Cory	The Crime City Diaries: Entry 1 - Crooked (2012)
'Spax' Szulc-Vollmann, Rafael	Battle of the Year (2013)
'Sticks' Hilliard, Johnny	Welcome to Slab City (2012)
'Stretch' Cox Troupe	Fire Down Below (1957)
't Hart, Maarten	Boudewijn B?ch - De dichter, de dodo en het demasqu? (2008) (TV)
't Hoen, Dani?l	Zonde (2010)
't Hoen, Frans	De gebroken kruik (1958) (TV)
't Hoen, Frans	De zaak M.P. (1960)
't Hoen, Frans	Dorp aan de rivier (1958)
't Hoen, Frans	Gijsbrecht van Aemstel (1957) (TV)
't Hoen, Frans	Traan (1962) (TV)
't Hooft, Dick	Moord in extase (1984)
't Hout, Rogier in	48 minuten (2013)
't Joen, L?on	Jack l'?ventreur (1971)
'The Freakin' Puerto Rican' Torres, Ramiro	UFC 55: Fury (2005) (TV)
'The Horse', Cowboy	Contested (2012)
'The Religious Nut', Izzy	Twister: A Musical Catastrophe (2000) (V)
'The Welder' Phinney, Frank	Welcome to Slab City (2012)
'Thundakat' Abrams, Andre-Julius	I Got Soul (2013)
'Til Tuesday	MTV Video Music Awards 1985 (1985) (TV)
'Til Tuesday	MTV Video Music Awards 1986 (1986) (TV)
'Trash' Temperill, P.	Leprechaun 3 (1995) (V)
'Trix' Thompson, Albert	Battle of the Year (2013)
'Tunsichino' Cooper, Gerald	Motown Mafia: The Story of Eddie Jackson and Courtney Brown (2011)
'Ulaleo, Ka'olelo	Pele's Appeal (1990)
'Vietnam'Carswell, Leon	Transformers: Revenge of the Fallen (2009)
'?', Oswald	Skate - O Esporte Emo??o (1987)
*NSYNC	'N Sync - Most Requested Hit Videos (2002) (V)
*NSYNC	101 Biggest Celebrity Oops (2004) (TV)
*NSYNC	1999 Blockbuster Entertainment Awards (1999) (TV)
*NSYNC	2000 MTV Movie Awards (2000) (TV)
*NSYNC	American Bandstand's 50th Anniversary Celebration (2002) (TV)
*NSYNC	Bubblegum Babylon (2002) (TV)
*NSYNC	L'Oreal Summer Music Mania (1999) (TV)
*NSYNC	Macy's Thanksgiving Day Parade (1998) (TV)
*NSYNC	MTV Snowed In 2000 (2000) (TV)
*NSYNC	MTV Video Music Awards 1999 (1999) (TV)
*NSYNC	MTV Video Music Awards 2001 (2001) (TV)
*NSYNC	MTV Video Music Awards 2002 (2002) (TV)
*NSYNC	New Year's Rockin' Eve 2001 (2000) (TV)
*NSYNC	Nickelodeon Kids' Choice Awards (2001) (TV)
*NSYNC	SNL: 25 Years of Music (1999) (TV)
*NSYNC	Summer Music Mania 2000 (2000) (TV)
*NSYNC	Super Bowl XXXV (2001) (TV)
*NSYNC	Super Bowl XXXV Halftime Show (2001) (TV)
*NSYNC	The 1998 Billboard Music Awards (1998) (TV)
*NSYNC	The 1999 Billboard Music Awards (1999) (TV)
*NSYNC	The 2001 Billboard Music Awards (2001) (TV)
*NSYNC	The 25th Annual American Music Awards (1998) (TV)
*NSYNC	The 26th Annual American Music Awards (1999) (TV)
*NSYNC	The 27th Annual American Music Awards (2000) (TV)
*NSYNC	The 27th Annual People's Choice Awards (2001) (TV)
*NSYNC	The 28th Annual American Music Awards (2001) (TV)
*NSYNC	The 28th Annual People's Choice Awards (2002) (TV)
*NSYNC	The 40th Anniversary American Music Awards (2012) (TV)
*NSYNC	The 72nd Annual Academy Awards (2000) (TV)
*NSYNC	The Teen Choice Awards 2002 (2002) (TV)
*NSYNC	Walt Disney World Very Merry Christmas Parade (1999) (TV)
-, Afsaneh	For the Birds (2013)
-, Afsaneh	Inescapable Dream (2012)
-, Amy	24 instantes (2004)
-, Aya	One Gong (2013)
-, Doigaki	The Shore (2013)
-, Elidad	It's a Good Life (2013)
-, Francis	Kayan Beauties (2012)
-, Hayato	Hanabi Shisou (2013)
-, Manolo	Counting My Days (2010)
-, Mariusz	R?wnonoc (2011)
-, Meherunnesa	While the Train Runs (2013)
-, Mieke	People in White (2011) (V)
-, Moena	Melody of Funhouse (2013)
-, Mowly	Mowly (2011)
-, Paulex	Big Weekend (2011)
-, Pinky	Shourya (2013)
-, Sanjevee	Maayan El Pescador (2011) (V)
-, Saori	Blue Gateway of Happiness (2012)
-, Taishi	Life of Festival (2012)
--, Zahara	Le?ador Y La Mujer Am?rica (2013)
-Alverio, Esteban Rodriguez	Three from the Block (2013)
-Mensah, Isaiah Entsua	Bikini Bloodbath Christmas (2009) (V)
-Mensah, Isaiah Entsua	London Betty (2009)
-Mensah, Isaiah Entsua	Rudyard Kipling's Mark of the Beast (2012)
., Abdul Hamid	Quiescence (2011) (V)
., Adib Ahmad Hilmy	The Thief and the Wise Man (2010)
., Ashwaq	Don't Leave Me (2013)
., Bruno	Belva Nera (2013)
., Ceschino	Magnetic Personality (2013)
., Cougar	Peak of Terror (2013)
., Dian Aisyah	Quiescence (2011) (V)
., G-Town	The Furious Force of Rhymes (2010)
., Hamid	Bad Ideas (2012)
., Hazman Ruzman	The Thief and the Wise Man (2010)
., Ino	The Blind Photographer (2011)
., Isis	Cannibal Maid and Killer Nurse (2011)
., Maziar	Safari Jadeyi (2013)
., Mohamad Sawifi	The Thief and the Wise Man (2010)
., Morgan	With or Without You (2010)
., Murali	Rosy Theatre, Kanapur (2012)
., Offkey	Meet Me on the Hill (2011)
., Ralphie	I Think It'll Fit (2006) (V)
., Ralphie	It Might Be Hot! (2006) (V)
., Rayza	Tina's World (2009)
., Scrooge	Courier Culture (2012) (V)
., Sundar	Rosy Theatre, Kanapur (2012)
., Texas	The Genderfellator (2011)
., Timo	The Quincy Rose Show (2011)
., Ubah	American Slaves (2007) (V)
., Wojtek	The Wheel of Life (2012)
., Zhanna	Ellas (2012)
.38 Special	38 Special: Live at Sturgis (1999) (V)
.38 Special	CMT Road Pranks (2011) (TV)
.38 Special	One Less Tear (2003) (V)
.Ravi, Professor	Naya Zamana Nai Kranti (1990)
/Ukxa, Kaqete	Journey to Nyae Nyae (2004) (V)
0110, Mr.	Power Surge (2004)
1, Todd	A Tribe Called Quest: The Video Anthology (2002) (V)
1, Todd	Who's the Man? (1993)
1. Wiener Pawlatschen Ag	Herzausreisser - Neues vom Wienerlied (2008)
1.85, Mariano	Con la primera al 2001 (2000) (TV)
1.85, Mariano	El genio de Eugenio (2001) (TV)
1.85, Mariano	Especial humor: Vaya... y vuelta (1996) (TV)
10, Mac	Love Hollywood Style (2006)
10,000 Maniacs	10,000 Maniacs Time Capsule (1990) (V)
1000Tinho	Coruja (2001)
101 Ranch Cowboys	Life on the 101 Ranch, Bliss Oklahoma (1914)
